Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
multiple-info,Chrome 112.0.0.0,,,2023-04-18 21:09:54,2023-04-18 21:12:47,"2m - 52,876s",PASSED
,,,,,,,
Test Cases/Positive Case/SK002-Shopping_cart/TC001-Checkout_product,Chrome 112.0.0.0,,,2023-04-18 21:09:56,2023-04-18 21:10:31,"35,694s",PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-18 21:09:57,2023-04-18 21:10:05,"7,978s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-18 21:10:05,2023-04-18 21:10:17,"11,401s",PASSED
"setText(findTestObject(""P001-Login/input_Swag Labs_user-name""), username)",Chrome 112.0.0.0,,,2023-04-18 21:10:17,2023-04-18 21:10:19,"2,416s",PASSED
"setEncryptedText(findTestObject(""P001-Login/input_Swag Labs_password""), passwordEnc)",Chrome 112.0.0.0,,,2023-04-18 21:10:19,2023-04-18 21:10:20,"0,924s",PASSED
"click(findTestObject(""P001-Login/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-18 21:10:20,2023-04-18 21:10:21,"1,017s",PASSED
"click(findTestObject(""P002-Products/button_Add to cart""))",Chrome 112.0.0.0,,,2023-04-18 21:10:21,2023-04-18 21:10:23,"1,845s",PASSED
"click(findTestObject(""P002-Products/a_1""))",Chrome 112.0.0.0,,,2023-04-18 21:10:23,2023-04-18 21:10:24,"0,855s",PASSED
"click(findTestObject(""P002-Products/button_Checkout""))",Chrome 112.0.0.0,,,2023-04-18 21:10:24,2023-04-18 21:10:25,"0,835s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_firstName""), first_name)",Chrome 112.0.0.0,,,2023-04-18 21:10:25,2023-04-18 21:10:26,"1,383s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_lastName""), last_name)",Chrome 112.0.0.0,,,2023-04-18 21:10:26,2023-04-18 21:10:27,"1,223s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_postalCode""), postal_code)",Chrome 112.0.0.0,,,2023-04-18 21:10:27,2023-04-18 21:10:28,"1,034s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/input_Cancel_continue""))",Chrome 112.0.0.0,,,2023-04-18 21:10:28,2023-04-18 21:10:29,"0,671s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Finish""))",Chrome 112.0.0.0,,,2023-04-18 21:10:29,2023-04-18 21:10:30,"0,566s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Back Home""))",Chrome 112.0.0.0,,,2023-04-18 21:10:30,2023-04-18 21:10:30,"0,623s",PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-18 21:10:30,2023-04-18 21:10:31,"1,084s",PASSED
,,,,,,,
Test Cases/Positive Case/SK002-Shopping_cart/TC001-Checkout_product,Chrome 112.0.0.0,,,2023-04-18 21:10:32,2023-04-18 21:10:48,"16,812s",PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-18 21:10:32,2023-04-18 21:10:34,"2,392s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-18 21:10:34,2023-04-18 21:10:37,"2,545s",PASSED
"setText(findTestObject(""P001-Login/input_Swag Labs_user-name""), username)",Chrome 112.0.0.0,,,2023-04-18 21:10:37,2023-04-18 21:10:38,"1,185s",PASSED
"setEncryptedText(findTestObject(""P001-Login/input_Swag Labs_password""), passwordEnc)",Chrome 112.0.0.0,,,2023-04-18 21:10:38,2023-04-18 21:10:39,"0,830s",PASSED
"click(findTestObject(""P001-Login/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-18 21:10:39,2023-04-18 21:10:40,"1,015s",PASSED
"click(findTestObject(""P002-Products/button_Add to cart""))",Chrome 112.0.0.0,,,2023-04-18 21:10:40,2023-04-18 21:10:41,"0,975s",PASSED
"click(findTestObject(""P002-Products/a_1""))",Chrome 112.0.0.0,,,2023-04-18 21:10:41,2023-04-18 21:10:41,"0,655s",PASSED
"click(findTestObject(""P002-Products/button_Checkout""))",Chrome 112.0.0.0,,,2023-04-18 21:10:41,2023-04-18 21:10:42,"0,630s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_firstName""), first_name)",Chrome 112.0.0.0,,,2023-04-18 21:10:42,2023-04-18 21:10:43,"1,066s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_lastName""), last_name)",Chrome 112.0.0.0,,,2023-04-18 21:10:43,2023-04-18 21:10:44,"1,016s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_postalCode""), postal_code)",Chrome 112.0.0.0,,,2023-04-18 21:10:44,2023-04-18 21:10:45,"0,965s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/input_Cancel_continue""))",Chrome 112.0.0.0,,,2023-04-18 21:10:45,2023-04-18 21:10:46,"1,049s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Finish""))",Chrome 112.0.0.0,,,2023-04-18 21:10:46,2023-04-18 21:10:47,"0,725s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Back Home""))",Chrome 112.0.0.0,,,2023-04-18 21:10:47,2023-04-18 21:10:47,"0,605s",PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-18 21:10:47,2023-04-18 21:10:48,"1,060s",PASSED
,,,,,,,
Test Cases/Positive Case/SK002-Shopping_cart/TC001-Checkout_product,Chrome 112.0.0.0,,,2023-04-18 21:10:49,2023-04-18 21:12:03,"1m - 14,187s",PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-18 21:10:49,2023-04-18 21:10:51,"2,228s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-18 21:10:51,2023-04-18 21:11:46,"54,660s",PASSED
"setText(findTestObject(""P001-Login/input_Swag Labs_user-name""), username)",Chrome 112.0.0.0,,,2023-04-18 21:11:46,2023-04-18 21:11:47,"1,242s",PASSED
"setEncryptedText(findTestObject(""P001-Login/input_Swag Labs_password""), passwordEnc)",Chrome 112.0.0.0,,,2023-04-18 21:11:47,2023-04-18 21:11:48,"0,905s",PASSED
"click(findTestObject(""P001-Login/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-18 21:11:48,2023-04-18 21:11:50,"1,706s",PASSED
"click(findTestObject(""P002-Products/button_Add to cart""))",Chrome 112.0.0.0,,,2023-04-18 21:11:50,2023-04-18 21:11:51,"1,153s",PASSED
"click(findTestObject(""P002-Products/a_1""))",Chrome 112.0.0.0,,,2023-04-18 21:11:51,2023-04-18 21:11:52,"1,638s",PASSED
"click(findTestObject(""P002-Products/button_Checkout""))",Chrome 112.0.0.0,,,2023-04-18 21:11:52,2023-04-18 21:11:53,"0,951s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_firstName""), first_name)",Chrome 112.0.0.0,,,2023-04-18 21:11:53,2023-04-18 21:11:55,"1,511s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_lastName""), last_name)",Chrome 112.0.0.0,,,2023-04-18 21:11:55,2023-04-18 21:11:56,"1,114s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_postalCode""), postal_code)",Chrome 112.0.0.0,,,2023-04-18 21:11:56,2023-04-18 21:11:57,"1,192s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/input_Cancel_continue""))",Chrome 112.0.0.0,,,2023-04-18 21:11:57,2023-04-18 21:11:59,"1,622s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Finish""))",Chrome 112.0.0.0,,,2023-04-18 21:11:59,2023-04-18 21:12:00,"1,337s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Back Home""))",Chrome 112.0.0.0,,,2023-04-18 21:12:00,2023-04-18 21:12:01,"1,326s",PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-18 21:12:01,2023-04-18 21:12:03,"1,525s",PASSED
,,,,,,,
Test Cases/Positive Case/SK002-Shopping_cart/TC001-Checkout_product,Chrome 112.0.0.0,,,2023-04-18 21:12:03,2023-04-18 21:12:27,"23,514s",PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-18 21:12:03,2023-04-18 21:12:06,"2,451s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-18 21:12:06,2023-04-18 21:12:09,"3,519s",PASSED
"setText(findTestObject(""P001-Login/input_Swag Labs_user-name""), username)",Chrome 112.0.0.0,,,2023-04-18 21:12:09,2023-04-18 21:12:10,"1,099s",PASSED
"setEncryptedText(findTestObject(""P001-Login/input_Swag Labs_password""), passwordEnc)",Chrome 112.0.0.0,,,2023-04-18 21:12:10,2023-04-18 21:12:11,"0,989s",PASSED
